dc,host,phd_awarding_entity,title,work_packages,summary,methods_or_focus,planned_start_month,duration_months,secondment_months,non_academic_months,deliverables,source
DC1,LiU,LiU,How structural patterns of species interactions affect response diversity,"WP2; WP3","Explores how ecological network structure and response diversity groups affect ecosystem resilience.","Community detection; ecological network simulations; generated and empirical network data; interactive visualisation.",5,36,7,1,"D2.1; D3.1",B1 p7 and B1 p32
DC2,LiU,LiU,Using soundscapes to reveal how species interaction networks shape response diversity,"WP1; WP3","Uses acoustic monitoring to infer species interactions and test how biotic and abiotic drivers shape response diversity.","AI pipelines for acoustic recordings; interaction networks; urbanisation gradients; typhoon disturbance data from OIST.",5,36,9,6,"D1.1; D3.1",B1 p7 and B1 p32
DC3,UOL,UOL,The effect and fate of response diversity under environmental change,"WP2; WP3","Tests how phytoplankton response diversity stabilises biomass production and changes under press and pulse warming.","Thermal reaction norms; metacommunity experiments; heatwaves; legacy effects in plankton communities.",6,36,5,0,"D3.1; D3.2",B1 p7-p8 and B1 p32
DC4,CarU,CarU,How can we measure response diversity at scale across taxa?,"WP1; WP2; WP3","Develops field technologies and methods for monitoring response diversity across taxa in managed and unmanaged ecosystems.","Camera and acoustic sensor arrays; disturbance monitoring; restoration monitoring; comparison with biodiversity credit metrics.",6,36,7,4,"D1.1; D3.2",B1 p8 and B1 p32
DC5,CarU,CarU,Do biotic interactions homogenise responses and reduce response diversity?,"WP1; WP3","Tests how facilitation competition predation and parasitism shape organismal responses and response diversity in freshwater communities.","Microcosm and mesocosm experiments; multi-species assemblages; temperature treatments; direct and indirect interactions.",6,36,6,1,"D1.2; D3.1",B1 p8-p9 and B1 p32
DC6,UNamur,UNamur,A general theory of response diversity effects on stability and coexistence,"WP1; WP2; WP3","Develops theory linking response diversity mean response temporal stability and coexistence across environmental drivers.","Community model structures; parameter databases; Lotka-Volterra and consumer-resource models; simulations across dynamical regimes.",6,36,3,0,"D1.1; D2.1; D3.1",B1 p9 and B1 p32
DC7,UNamur,UNamur,Mean response and response diversity predict impact across environmental contexts,"WP2; WP3","Tests whether response diversity and mean response predict ecological impacts across drivers timescales and ecosystem types.","Single-species bioassays; algae and protist microcosms; pulse and press disturbances; statistical models.",6,36,6,0,"D2.2; D3.1; D3.2",B1 p9 and B1 p32
DC8,CSIC,Universitat de València,Disruption of compensatory dynamics under extreme climatic events,"WP1; WP2","Assesses how extreme climatic events disrupt compensatory dynamics and vegetation stability across scales.","Long-term vegetation and trait data; phenology and abundance; climatic extremes; compensatory dynamics.",3,36,4,0,"D1.1; D2.2; D3.2",B1 p9-p10 and B1 p32
DC9,UH,UH,Boreal forest and tundra plant communities under environmental change,"WP1; WP2","Studies response diversity and stability in boreal forest and tundra plant communities along environmental gradients.","Functional traits; tundra and boreal field systems; remote sensing; environmental change gradients.",6,36,4,0,"D1.1; D2.2; D3.2",B1 p10-p11 and B1 p32
DC10,SwanU,SwanU,Restoration of co-invading alien plant species,"WP1; WP2; WP3","Investigates how response diversity among co-invading alien plants affects persistence restoration and management outcomes.","Greenhouse and field experiments; co-invasion dynamics; contaminated post-industrial landscapes; restoration applications.",4,36,12,12,"D1.2; D2.3; D3.1; D3.2",B1 p11-p12 and B1 p32
DC11,UZH,UZH,Integrating response diversity into policy,"WP1; WP2","Analyses how response diversity concepts and indicators can be integrated into policy and monitoring frameworks.","Policy document analysis; biodiversity monitoring; nature restoration policy; policy briefs.",6,36,4,2,"D1.3; D2.3; D5.5",B1 p12-p13 and B1 p32
DC12,UZH,UZH,Opportunities and barriers for response-diversity-enabled policy,"WP1; WP2","Explores trade-offs barriers and opportunities for using response diversity in sustainability policy and decision-making.","Agent-based models; socio-economic trade-offs; corporate sustainability reporting; policy implementation barriers.",4,36,5,4,"D1.3; D2.3; D5.5",B1 p13 and B1 p32
DC13,Monash,Monash,Physiological basis and consequences of response diversity,"WP1; WP2; WP3","Tests how physiological responses underpin response diversity and ecological stability in marine phytoplankton.","Phytoplankton experiments; thermal physiology; community assembly; response and effect traits; mechanistic models.",6,36,6,0,"D1.2; D2.1; D2.2; D3.2",B1 p13-p14 and B1 p32
